,date,home_team,away_team,home_team_continent,away_team_continent,home_score,away_score,tournament,city,country,shoot_out,winning_team,losing_team,goals
0,1993-08-08,Bolivia,Uruguay,South America,South America,3.0,1.0,FIFA World Cup qualification,La Paz,Bolivia,No,Bolivia,Uruguay,4.0
1,1993-08-08,Ecuador,Venezuela,South America,South America,5.0,0.0,FIFA World Cup qualification,Quito,Ecuador,No,Ecuador,Venezuela,5.0
2,1993-08-08,Paraguay,Argentina,South America,South America,1.0,3.0,FIFA World Cup qualification,Asunción,Paraguay,No,Argentina,Paraguay,4.0
3,1993-08-08,Peru,Colombia,South America,South America,0.0,1.0,FIFA World Cup qualification,Lima,Peru,No,Colombia,Peru,1.0
4,1993-08-15,Australia,Canada,Oceania,North America,2.0,1.0,FIFA World Cup qualification,Sydney,Australia,Yes,Australia,Canada,3.0
5,1993-08-15,Bolivia,Ecuador,South America,South America,1.0,0.0,FIFA World Cup qualification,La Paz,Bolivia,No,Bolivia,Ecuador,1.0
6,1993-08-15,Colombia,Argentina,South America,South America,2.0,1.0,FIFA World Cup qualification,Barranquilla,Colombia,No,Colombia,Argentina,3.0
7,1993-08-15,Uruguay,Brazil,South America,South America,1.0,1.0,FIFA World Cup qualification,Montevideo,Uruguay,No,Draw,Draw,2.0
8,1993-08-22,Argentina,Peru,South America,South America,2.0,1.0,FIFA World Cup qualification,Buenos Aires,Argentina,No,Argentina,Peru,3.0
9,1993-08-22,Bolivia,Venezuela,South America,South America,7.0,0.0,FIFA World Cup qualification,La Paz,Bolivia,No,Bolivia,Venezuela,7.0
10,1993-08-22,Brazil,Ecuador,South America,South America,2.0,0.0,FIFA World Cup qualification,São Paulo,Brazil,No,Brazil,Ecuador,2.0
11,1993-08-22,Paraguay,Colombia,South America,South America,1.0,1.0,FIFA World Cup qualification,Asunción,Paraguay,No,Draw,Draw,2.0
12,1993-08-22,Sweden,France,Europe,Europe,1.0,1.0,FIFA World Cup qualification,Solna,Sweden,No,Draw,Draw,2.0
13,1993-08-25,Austria,Finland,Europe,Europe,3.0,0.0,FIFA World Cup qualification,Vienna,Austria,No,Austria,Finland,3.0
14,1993-08-25,Denmark,Lithuania,Europe,Europe,4.0,0.0,FIFA World Cup qualification,Copenhagen,Denmark,No,Denmark,Lithuania,4.0
15,1993-08-29,Argentina,Paraguay,South America,South America,0.0,0.0,FIFA World Cup qualification,Buenos Aires,Argentina,No,Draw,Draw,0.0
16,1993-08-29,Brazil,Bolivia,South America,South America,6.0,0.0,FIFA World Cup qualification,Recife,Brazil,No,Brazil,Bolivia,6.0
17,1993-08-29,Colombia,Peru,South America,South America,4.0,0.0,FIFA World Cup qualification,Barranquilla,Colombia,No,Colombia,Peru,4.0
18,1993-08-29,Uruguay,Venezuela,South America,South America,4.0,0.0,FIFA World Cup qualification,Montevideo,Uruguay,No,Uruguay,Venezuela,4.0
19,1993-09-05,Argentina,Colombia,South America,South America,0.0,5.0,FIFA World Cup qualification,Buenos Aires,Argentina,No,Colombia,Argentina,5.0
20,1993-09-05,Brazil,Venezuela,South America,South America,4.0,0.0,FIFA World Cup qualification,Belo Horizonte,Brazil,No,Brazil,Venezuela,4.0
21,1993-09-05,Ecuador,Uruguay,South America,South America,0.0,1.0,FIFA World Cup qualification,Guayaquil,Ecuador,No,Uruguay,Ecuador,1.0
22,1993-09-05,Estonia,Portugal,Europe,Europe,0.0,2.0,FIFA World Cup qualification,Tallinn,Estonia,No,Portugal,Estonia,2.0
23,1993-09-05,Peru,Paraguay,South America,South America,2.0,2.0,FIFA World Cup qualification,Lima,Peru,No,Draw,Draw,4.0
24,1993-09-08,Albania,Denmark,Europe,Europe,0.0,1.0,FIFA World Cup qualification,Tirana,Albania,No,Denmark,Albania,1.0
25,1993-09-08,Bulgaria,Sweden,Europe,Europe,1.0,1.0,FIFA World Cup qualification,Sofia,Bulgaria,No,Draw,Draw,2.0
26,1993-09-08,England,Poland,Europe,Europe,3.0,0.0,FIFA World Cup qualification,London,England,No,England,Poland,3.0
27,1993-09-08,Faroe Islands,Romania,Europe,Europe,0.0,4.0,FIFA World Cup qualification,Toftir,Faroe Islands,No,Romania,Faroe Islands,4.0
28,1993-09-08,Finland,France,Europe,Europe,0.0,2.0,FIFA World Cup qualification,Tampere,Finland,No,France,Finland,2.0
29,1993-09-08,Hungary,Russia,Europe,Europe,1.0,3.0,FIFA World Cup qualification,Budapest,Hungary,No,Russia,Hungary,4.0
30,1993-09-08,Iceland,Luxembourg,Europe,Europe,1.0,0.0,FIFA World Cup qualification,Reykjavík,Iceland,No,Iceland,Luxembourg,1.0
31,1993-09-08,Republic of Ireland,Lithuania,Europe,Europe,2.0,0.0,FIFA World Cup qualification,Dublin,Republic of Ireland,No,Republic of Ireland,Lithuania,2.0
32,1993-09-08,Northern Ireland,Latvia,Europe,Europe,2.0,0.0,FIFA World Cup qualification,Belfast,Northern Ireland,No,Northern Ireland,Latvia,2.0
33,1993-09-08,Scotland,Switzerland,Europe,Europe,1.0,1.0,FIFA World Cup qualification,Aberdeen,Scotland,No,Draw,Draw,2.0
34,1993-09-12,Uruguay,Bolivia,South America,South America,2.0,1.0,FIFA World Cup qualification,Montevideo,Uruguay,No,Uruguay,Bolivia,3.0
35,1993-09-12,Venezuela,Ecuador,South America,South America,2.0,1.0,FIFA World Cup qualification,Puerto Ordaz,Venezuela,No,Venezuela,Ecuador,3.0
36,1993-09-19,Brazil,Uruguay,South America,South America,2.0,0.0,FIFA World Cup qualification,Rio de Janeiro,Brazil,No,Brazil,Uruguay,2.0
37,1993-09-19,Ecuador,Bolivia,South America,South America,1.0,1.0,FIFA World Cup qualification,Guayaquil,Ecuador,No,Draw,Draw,2.0
38,1993-09-22,Albania,Spain,Europe,Europe,1.0,5.0,FIFA World Cup qualification,Tirana,Albania,No,Spain,Albania,6.0
39,1993-09-22,Estonia,Italy,Europe,Europe,0.0,3.0,FIFA World Cup qualification,Tallinn,Estonia,No,Italy,Estonia,3.0
40,1993-09-22,Norway,Poland,Europe,Europe,1.0,0.0,FIFA World Cup qualification,Oslo,Norway,No,Norway,Poland,1.0
41,1993-09-22,San Marino,Netherlands,Europe,Europe,0.0,7.0,FIFA World Cup qualification,Bologna,Italy,No,Netherlands,San Marino,7.0
42,1993-09-25,Nigeria,Côte d'Ivoire,Africa,Africa,4.0,1.0,FIFA World Cup qualification,Lagos,Nigeria,No,Nigeria,Côte d'Ivoire,5.0
43,1993-09-26,Zambia,Senegal,Africa,Africa,4.0,0.0,FIFA World Cup qualification,Lusaka,Zambia,No,Zambia,Senegal,4.0
44,1993-09-26,Zimbabwe,Guinea,Africa,Africa,1.0,0.0,FIFA World Cup qualification,Harare,Zimbabwe,No,Zimbabwe,Guinea,1.0
45,1993-10-08,Algeria,Nigeria,Africa,Africa,1.0,1.0,FIFA World Cup qualification,Algiers,Algeria,No,Draw,Draw,2.0
46,1993-10-10,Cameroon,Zimbabwe,Africa,Africa,3.0,1.0,FIFA World Cup qualification,Yaoundé,Cameroon,No,Cameroon,Zimbabwe,4.0
47,1993-10-10,Morocco,Zambia,Africa,Africa,1.0,0.0,FIFA World Cup qualification,Casablanca,Morocco,No,Morocco,Zambia,1.0
48,1993-10-12,Luxembourg,Greece,Europe,Europe,1.0,3.0,FIFA World Cup qualification,Luxembourg,Luxembourg,No,Greece,Luxembourg,4.0
49,1993-10-13,Bulgaria,Austria,Europe,Europe,4.0,1.0,FIFA World Cup qualification,Sofia,Bulgaria,No,Bulgaria,Austria,5.0
50,1993-10-13,Denmark,Northern Ireland,Europe,Europe,1.0,0.0,FIFA World Cup qualification,Copenhagen,Denmark,No,Denmark,Northern Ireland,1.0
51,1993-10-13,France,Israel,Europe,Europe,2.0,3.0,FIFA World Cup qualification,Paris,France,No,Israel,France,5.0
52,1993-10-13,Republic of Ireland,Spain,Europe,Europe,1.0,3.0,FIFA World Cup qualification,Dublin,Republic of Ireland,No,Spain,Republic of Ireland,4.0
53,1993-10-13,Italy,Scotland,Europe,Europe,3.0,1.0,FIFA World Cup qualification,Rome,Italy,No,Italy,Scotland,4.0
54,1993-10-13,Netherlands,England,Europe,Europe,2.0,0.0,FIFA World Cup qualification,Rotterdam,Netherlands,No,Netherlands,England,2.0
55,1993-10-13,Poland,Norway,Europe,Europe,0.0,3.0,FIFA World Cup qualification,Poznań,Poland,No,Norway,Poland,3.0
56,1993-10-13,Portugal,Switzerland,Europe,Europe,1.0,0.0,FIFA World Cup qualification,Porto,Portugal,No,Portugal,Switzerland,1.0
57,1993-10-13,Romania,Belgium,Europe,Europe,2.0,1.0,FIFA World Cup qualification,Bucharest,Romania,No,Romania,Belgium,3.0
58,1993-10-13,Sweden,Finland,Europe,Europe,3.0,2.0,FIFA World Cup qualification,Solna,Sweden,No,Sweden,Finland,5.0
59,1993-10-13,Wales,Cyprus,Europe,Europe,2.0,0.0,FIFA World Cup qualification,Cardiff,Wales,No,Wales,Cyprus,2.0
60,1993-10-15,Korea DPR,Iraq,Asia,Asia,3.0,2.0,FIFA World Cup qualification,Doha,Qatar,No,Korea DPR,Iraq,5.0
61,1993-10-15,Saudi Arabia,Japan,Asia,Asia,0.0,0.0,FIFA World Cup qualification,Doha,Qatar,No,Draw,Draw,0.0
62,1993-10-16,IR Iran,Korea Republic,Asia,Asia,0.0,3.0,FIFA World Cup qualification,Doha,Qatar,No,Korea Republic,IR Iran,3.0
63,1993-10-18,Japan,IR Iran,Asia,Asia,1.0,2.0,FIFA World Cup qualification,Doha,Qatar,No,IR Iran,Japan,3.0
64,1993-10-18,Korea DPR,Saudi Arabia,Asia,Asia,1.0,2.0,FIFA World Cup qualification,Doha,Qatar,No,Saudi Arabia,Korea DPR,3.0
65,1993-10-19,Iraq,Korea Republic,Asia,Asia,2.0,2.0,FIFA World Cup qualification,Doha,Qatar,No,Draw,Draw,4.0
66,1993-10-21,Korea DPR,Japan,Asia,Asia,0.0,3.0,FIFA World Cup qualification,Doha,Qatar,No,Japan,Korea DPR,3.0
67,1993-10-22,IR Iran,Iraq,Asia,Asia,1.0,2.0,FIFA World Cup qualification,Doha,Qatar,No,Iraq,IR Iran,3.0
68,1993-10-22,Korea Republic,Saudi Arabia,Asia,Asia,1.0,1.0,FIFA World Cup qualification,Doha,Qatar,No,Draw,Draw,2.0
69,1993-10-24,Iraq,Saudi Arabia,Asia,Asia,1.0,1.0,FIFA World Cup qualification,Doha,Qatar,No,Draw,Draw,2.0
70,1993-10-25,IR Iran,Korea DPR,Asia,Asia,2.0,1.0,FIFA World Cup qualification,Doha,Qatar,No,IR Iran,Korea DPR,3.0
71,1993-10-25,Japan,Korea Republic,Asia,Asia,1.0,0.0,FIFA World Cup qualification,Doha,Qatar,No,Japan,Korea Republic,1.0
72,1993-10-27,Hungary,Luxembourg,Europe,Europe,1.0,0.0,FIFA World Cup qualification,Budapest,Hungary,No,Hungary,Luxembourg,1.0
73,1993-10-27,Israel,Austria,Europe,Europe,1.0,1.0,FIFA World Cup qualification,Ramat-Gan,Israel,No,Draw,Draw,2.0
74,1993-10-27,Turkey,Poland,Europe,Europe,2.0,1.0,FIFA World Cup qualification,Istanbul,Turkey,No,Turkey,Poland,3.0
75,1993-10-28,Iraq,Japan,Asia,Asia,2.0,2.0,FIFA World Cup qualification,Doha,Qatar,No,Draw,Draw,4.0
76,1993-10-28,Korea Republic,Korea DPR,Asia,Asia,3.0,0.0,FIFA World Cup qualification,Doha,Qatar,No,Korea Republic,Korea DPR,3.0
77,1993-10-28,Saudi Arabia,IR Iran,Asia,Asia,4.0,3.0,FIFA World Cup qualification,Doha,Qatar,No,Saudi Arabia,IR Iran,7.0
78,1993-10-31,Australia,Argentina,Oceania,South America,1.0,1.0,FIFA World Cup qualification,Sydney,Australia,No,Draw,Draw,2.0
79,1993-11-10,Austria,Sweden,Europe,Europe,1.0,1.0,FIFA World Cup qualification,Vienna,Austria,No,Draw,Draw,2.0
80,1993-11-10,Israel,Finland,Europe,Europe,1.0,3.0,FIFA World Cup qualification,Ramat-Gan,Israel,No,Finland,Israel,4.0
81,1993-11-10,Portugal,Estonia,Europe,Europe,3.0,0.0,FIFA World Cup qualification,Lisbon,Portugal,No,Portugal,Estonia,3.0
82,1993-11-10,Turkey,Norway,Europe,Europe,2.0,1.0,FIFA World Cup qualification,Istanbul,Turkey,No,Turkey,Norway,3.0
83,1993-11-17,Argentina,Australia,South America,Oceania,1.0,0.0,FIFA World Cup qualification,Buenos Aires,Argentina,No,Argentina,Australia,1.0
84,1993-11-17,France,Bulgaria,Europe,Europe,1.0,2.0,FIFA World Cup qualification,Paris,France,No,Bulgaria,France,3.0
85,1993-11-17,Greece,Russia,Europe,Europe,1.0,0.0,FIFA World Cup qualification,Athens,Greece,No,Greece,Russia,1.0
86,1993-11-17,Italy,Portugal,Europe,Europe,1.0,0.0,FIFA World Cup qualification,Milan,Italy,No,Italy,Portugal,1.0
87,1993-11-17,Malta,Scotland,Europe,Europe,0.0,2.0,FIFA World Cup qualification,Attard,Malta,No,Scotland,Malta,2.0
88,1993-11-17,Northern Ireland,Republic of Ireland,Europe,Europe,1.0,1.0,FIFA World Cup qualification,Belfast,Northern Ireland,No,Draw,Draw,2.0
89,1993-11-17,Poland,Netherlands,Europe,Europe,1.0,3.0,FIFA World Cup qualification,Poznań,Poland,No,Netherlands,Poland,4.0
90,1993-11-17,San Marino,England,Europe,Europe,1.0,7.0,FIFA World Cup qualification,Bologna,Italy,No,England,San Marino,8.0
91,1993-11-17,Spain,Denmark,Europe,Europe,1.0,0.0,FIFA World Cup qualification,Seville,Spain,No,Spain,Denmark,1.0
92,1993-11-17,Switzerland,Estonia,Europe,Europe,4.0,0.0,FIFA World Cup qualification,Zürich,Switzerland,No,Switzerland,Estonia,4.0
93,1993-11-17,Wales,Romania,Europe,Europe,1.0,2.0,FIFA World Cup qualification,Cardiff,Wales,No,Romania,Wales,3.0
94,1994-06-17,Germany,Bolivia,Europe,South America,1.0,0.0,FIFA World Cup,Chicago,USA,No,Germany,Bolivia,1.0
95,1994-06-17,Spain,Korea Republic,Europe,Asia,2.0,2.0,FIFA World Cup,Dallas,USA,No,Draw,Draw,4.0
96,1994-06-18,Colombia,Romania,South America,Europe,1.0,3.0,FIFA World Cup,Pasadena,USA,No,Romania,Colombia,4.0
97,1994-06-18,Italy,Republic of Ireland,Europe,Europe,0.0,1.0,FIFA World Cup,East Rutherford,USA,No,Republic of Ireland,Italy,1.0
98,1994-06-18,USA,Switzerland,North America,Europe,1.0,1.0,FIFA World Cup,Pontiac,USA,No,Draw,Draw,2.0
99,1994-06-19,Belgium,Morocco,Europe,Africa,1.0,0.0,FIFA World Cup,Orlando,USA,No,Belgium,Morocco,1.0
100,1994-06-19,Cameroon,Sweden,Africa,Europe,2.0,2.0,FIFA World Cup,Pasadena,USA,No,Draw,Draw,4.0
101,1994-06-19,Norway,Mexico,Europe,North America,1.0,0.0,FIFA World Cup,Washington,USA,No,Norway,Mexico,1.0
102,1994-06-20,Brazil,Russia,South America,Europe,2.0,0.0,FIFA World Cup,Palo Alto,USA,No,Brazil,Russia,2.0
103,1994-06-20,Netherlands,Saudi Arabia,Europe,Asia,2.0,1.0,FIFA World Cup,Washington,USA,No,Netherlands,Saudi Arabia,3.0
104,1994-06-21,Argentina,Greece,South America,Europe,4.0,0.0,FIFA World Cup,Foxborough,USA,No,Argentina,Greece,4.0
105,1994-06-21,Germany,Spain,Europe,Europe,1.0,1.0,FIFA World Cup,Chicago,USA,No,Draw,Draw,2.0
106,1994-06-21,Nigeria,Bulgaria,Africa,Europe,3.0,0.0,FIFA World Cup,Dallas,USA,No,Nigeria,Bulgaria,3.0
107,1994-06-22,Romania,Switzerland,Europe,Europe,1.0,4.0,FIFA World Cup,Pontiac,USA,No,Switzerland,Romania,5.0
108,1994-06-22,USA,Colombia,North America,South America,2.0,1.0,FIFA World Cup,Pasadena,USA,No,USA,Colombia,3.0
109,1994-06-23,Italy,Norway,Europe,Europe,1.0,0.0,FIFA World Cup,East Rutherford,USA,No,Italy,Norway,1.0
110,1994-06-23,Korea Republic,Bolivia,Asia,South America,0.0,0.0,FIFA World Cup,Foxborough,USA,No,Draw,Draw,0.0
111,1994-06-24,Brazil,Cameroon,South America,Africa,3.0,0.0,FIFA World Cup,Palo Alto,USA,No,Brazil,Cameroon,3.0
112,1994-06-24,Mexico,Republic of Ireland,North America,Europe,2.0,1.0,FIFA World Cup,Orlando,USA,No,Mexico,Republic of Ireland,3.0
113,1994-06-24,Sweden,Russia,Europe,Europe,3.0,1.0,FIFA World Cup,Pontiac,USA,No,Sweden,Russia,4.0
114,1994-06-25,Argentina,Nigeria,South America,Africa,2.0,1.0,FIFA World Cup,Foxborough,USA,No,Argentina,Nigeria,3.0
115,1994-06-25,Belgium,Netherlands,Europe,Europe,1.0,0.0,FIFA World Cup,Orlando,USA,No,Belgium,Netherlands,1.0
116,1994-06-25,Saudi Arabia,Morocco,Asia,Africa,2.0,1.0,FIFA World Cup,East Rutherford,USA,No,Saudi Arabia,Morocco,3.0
117,1994-06-26,Bulgaria,Greece,Europe,Europe,4.0,0.0,FIFA World Cup,Chicago,USA,No,Bulgaria,Greece,4.0
118,1994-06-26,Switzerland,Colombia,Europe,South America,0.0,2.0,FIFA World Cup,Palo Alto,USA,No,Colombia,Switzerland,2.0
119,1994-06-26,USA,Romania,North America,Europe,0.0,1.0,FIFA World Cup,Pasadena,USA,No,Romania,USA,1.0
120,1994-06-27,Bolivia,Spain,South America,Europe,1.0,3.0,FIFA World Cup,Chicago,USA,No,Spain,Bolivia,4.0
121,1994-06-27,Germany,Korea Republic,Europe,Asia,3.0,2.0,FIFA World Cup,Dallas,USA,No,Germany,Korea Republic,5.0
122,1994-06-28,Brazil,Sweden,South America,Europe,1.0,1.0,FIFA World Cup,Pontiac,USA,No,Draw,Draw,2.0
123,1994-06-28,Republic of Ireland,Norway,Europe,Europe,0.0,0.0,FIFA World Cup,East Rutherford,USA,No,Draw,Draw,0.0
124,1994-06-28,Italy,Mexico,Europe,North America,1.0,1.0,FIFA World Cup,Washington,USA,No,Draw,Draw,2.0
125,1994-06-28,Russia,Cameroon,Europe,Africa,6.0,1.0,FIFA World Cup,Palo Alto,USA,No,Russia,Cameroon,7.0
126,1994-06-29,Belgium,Saudi Arabia,Europe,Asia,0.0,1.0,FIFA World Cup,Washington,USA,No,Saudi Arabia,Belgium,1.0
127,1994-06-29,Morocco,Netherlands,Africa,Europe,1.0,2.0,FIFA World Cup,Orlando,USA,No,Netherlands,Morocco,3.0
128,1994-06-30,Argentina,Bulgaria,South America,Europe,0.0,2.0,FIFA World Cup,Dallas,USA,No,Bulgaria,Argentina,2.0
129,1994-06-30,Greece,Nigeria,Europe,Africa,0.0,2.0,FIFA World Cup,Foxborough,USA,No,Nigeria,Greece,2.0
130,1994-07-02,Germany,Belgium,Europe,Europe,3.0,2.0,FIFA World Cup,Chicago,USA,No,Germany,Belgium,5.0
131,1994-07-02,Spain,Switzerland,Europe,Europe,3.0,0.0,FIFA World Cup,Washington,USA,No,Spain,Switzerland,3.0
132,1994-07-03,Romania,Argentina,Europe,South America,3.0,2.0,FIFA World Cup,Pasadena,USA,No,Romania,Argentina,5.0
133,1994-07-03,Saudi Arabia,Sweden,Asia,Europe,1.0,3.0,FIFA World Cup,Dallas,USA,No,Sweden,Saudi Arabia,4.0
134,1994-07-04,Netherlands,Republic of Ireland,Europe,Europe,2.0,0.0,FIFA World Cup,Orlando,USA,No,Netherlands,Republic of Ireland,2.0
135,1994-07-04,USA,Brazil,North America,South America,0.0,1.0,FIFA World Cup,Palo Alto,USA,No,Brazil,USA,1.0
136,1994-07-05,Mexico,Bulgaria,North America,Europe,1.0,1.0,FIFA World Cup,East Rutherford,USA,Yes,Draw,Draw,2.0
137,1994-07-05,Nigeria,Italy,Africa,Europe,1.0,2.0,FIFA World Cup,Foxborough,USA,No,Italy,Nigeria,3.0
138,1994-07-09,Italy,Spain,Europe,Europe,2.0,1.0,FIFA World Cup,Foxborough,USA,No,Italy,Spain,3.0
139,1994-07-09,Netherlands,Brazil,Europe,South America,2.0,3.0,FIFA World Cup,Dallas,USA,No,Brazil,Netherlands,5.0
140,1994-07-10,Bulgaria,Germany,Europe,Europe,2.0,1.0,FIFA World Cup,East Rutherford,USA,No,Bulgaria,Germany,3.0
141,1994-07-10,Romania,Sweden,Europe,Europe,2.0,2.0,FIFA World Cup,Palo Alto,USA,Yes,Draw,Draw,4.0
142,1994-07-13,Bulgaria,Italy,Europe,Europe,1.0,2.0,FIFA World Cup,East Rutherford,USA,No,Italy,Bulgaria,3.0
143,1994-07-13,Sweden,Brazil,Europe,South America,0.0,1.0,FIFA World Cup,Pasadena,USA,No,Brazil,Sweden,1.0
144,1994-07-16,Sweden,Bulgaria,Europe,Europe,4.0,0.0,FIFA World Cup,Pasadena,USA,No,Sweden,Bulgaria,4.0
145,1994-07-17,Brazil,Italy,South America,Europe,0.0,0.0,FIFA World Cup,Pasadena,USA,Yes,Draw,Draw,0.0
146,1996-03-10,Dominica,Antigua and Barbuda,North America,North America,3.0,3.0,FIFA World Cup qualification,Roseau,Dominica,No,Draw,Draw,6.0
147,1996-03-24,Dominican Republic,Aruba,North America,North America,3.0,2.0,FIFA World Cup qualification,Santo Domingo,Dominican Republic,No,Dominican Republic,Aruba,5.0
148,1996-03-29,Guyana,Grenada,South America,North America,1.0,2.0,FIFA World Cup qualification,Georgetown,Guyana,No,Grenada,Guyana,3.0
149,1996-03-31,Antigua and Barbuda,Dominica,North America,North America,1.0,3.0,FIFA World Cup qualification,St. John's,Antigua and Barbuda,No,Dominica,Antigua and Barbuda,4.0
150,1996-03-31,Aruba,Dominican Republic,North America,North America,1.0,3.0,FIFA World Cup qualification,Oranjestad,Aruba,No,Dominican Republic,Aruba,4.0
151,1996-03-31,Suriname,Jamaica,South America,North America,0.0,1.0,FIFA World Cup qualification,Paramaribo,Suriname,No,Jamaica,Suriname,1.0
152,1996-04-07,Grenada,Guyana,North America,South America,6.0,0.0,FIFA World Cup qualification,St. George's,Grenada,No,Grenada,Guyana,6.0
153,1996-04-21,Jamaica,Suriname,North America,South America,1.0,0.0,FIFA World Cup qualification,Kingston,Jamaica,No,Jamaica,Suriname,1.0
154,1996-04-24,Argentina,Bolivia,South America,South America,3.0,1.0,FIFA World Cup qualification,Buenos Aires,Argentina,No,Argentina,Bolivia,4.0
155,1996-04-24,Colombia,Paraguay,South America,South America,1.0,0.0,FIFA World Cup qualification,Barranquilla,Colombia,No,Colombia,Paraguay,1.0
156,1996-04-24,Ecuador,Peru,South America,South America,4.0,1.0,FIFA World Cup qualification,Guayaquil,Ecuador,No,Ecuador,Peru,5.0
157,1996-04-24,Greece,Slovenia,Europe,Europe,2.0,0.0,FIFA World Cup qualification,Athens,Greece,No,Greece,Slovenia,2.0
158,1996-04-24,North Macedonia,Liechtenstein,Europe,Europe,3.0,0.0,FIFA World Cup qualification,Skopje,North Macedonia,No,North Macedonia,Liechtenstein,3.0
159,1996-04-24,Venezuela,Uruguay,South America,South America,0.0,2.0,FIFA World Cup qualification,Caracas,Venezuela,No,Uruguay,Venezuela,2.0
160,1996-05-05,Nicaragua,Guatemala,North America,North America,0.0,1.0,FIFA World Cup qualification,Diriamba,Nicaragua,No,Guatemala,Nicaragua,1.0
161,1996-05-05,St. Kitts and Nevis,St. Lucia,North America,North America,5.0,1.0,FIFA World Cup qualification,Basseterre,St. Kitts and Nevis,No,St. Kitts and Nevis,St. Lucia,6.0
162,1996-05-10,Guatemala,Nicaragua,North America,North America,2.0,1.0,FIFA World Cup qualification,Guatemala,Guatemala,No,Guatemala,Nicaragua,3.0
163,1996-05-12,Cayman Islands,Cuba,North America,North America,0.0,1.0,FIFA World Cup qualification,George Town,Cayman Islands,No,Cuba,Cayman Islands,1.0
164,1996-05-12,Haiti,Grenada,North America,North America,6.0,1.0,FIFA World Cup qualification,Port-au-Prince,Haiti,No,Haiti,Grenada,7.0
165,1996-05-14,Cayman Islands,Cuba,North America,North America,0.0,5.0,FIFA World Cup qualification,George Town,Cayman Islands,No,Cuba,Cayman Islands,5.0
166,1996-05-14,Dominica,Barbados,North America,North America,0.0,1.0,FIFA World Cup qualification,Roseau,Dominica,No,Barbados,Dominica,1.0
167,1996-05-18,Grenada,Haiti,North America,North America,0.0,1.0,FIFA World Cup qualification,St. George's,Grenada,No,Haiti,Grenada,1.0
168,1996-05-19,Barbados,Dominica,North America,North America,1.0,0.0,FIFA World Cup qualification,Bridgetown,Barbados,No,Barbados,Dominica,1.0
169,1996-05-19,St. Lucia,St. Kitts and Nevis,North America,North America,0.0,1.0,FIFA World Cup qualification,Castries,St. Lucia,No,St. Kitts and Nevis,St. Lucia,1.0
170,1996-05-31,Mauritania,Burkina Faso,Africa,Africa,0.0,0.0,FIFA World Cup qualification,Nouakchott,Mauritania,No,Draw,Draw,0.0
171,1996-06-01,Gambia,Liberia,Africa,Africa,2.0,1.0,FIFA World Cup qualification,Banjul,Gambia,No,Gambia,Liberia,3.0
172,1996-06-01,Guinea-Bissau,Guinea,Africa,Africa,3.0,2.0,FIFA World Cup qualification,Bissau,Guinea-Bissau,No,Guinea-Bissau,Guinea,5.0
173,1996-06-01,Iceland,North Macedonia,Europe,Europe,1.0,1.0,FIFA World Cup qualification,Reykjavík,Iceland,No,Draw,Draw,2.0
174,1996-06-01,Malawi,South Africa,Africa,Africa,0.0,1.0,FIFA World Cup qualification,Blantyre,Malawi,No,South Africa,Malawi,1.0
175,1996-06-01,Namibia,Mozambique,Africa,Africa,2.0,0.0,FIFA World Cup qualification,Windhoek,Namibia,No,Namibia,Mozambique,2.0
176,1996-06-01,Sudan,Zambia,Africa,Africa,2.0,0.0,FIFA World Cup qualification,Khartoum,Sudan,No,Sudan,Zambia,2.0
177,1996-06-01,Sweden,Belarus,Europe,Europe,5.0,1.0,FIFA World Cup qualification,Solna,Sweden,No,Sweden,Belarus,6.0
178,1996-06-01,Uganda,Angola,Africa,Africa,0.0,2.0,FIFA World Cup qualification,Kampala,Uganda,No,Angola,Uganda,2.0
179,1996-06-02,Belize,Panama,North America,North America,1.0,2.0,FIFA World Cup qualification,Belize City,Belize,No,Panama,Belize,3.0
180,1996-06-02,Burundi,Sierra Leone,Africa,Africa,1.0,0.0,FIFA World Cup qualification,Bujumbura,Burundi,No,Burundi,Sierra Leone,1.0
181,1996-06-02,Congo,Côte d'Ivoire,Africa,Africa,2.0,0.0,FIFA World Cup qualification,Brazzaville,Congo,No,Congo,Côte d'Ivoire,2.0
182,1996-06-02,Ecuador,Argentina,South America,South America,2.0,0.0,FIFA World Cup qualification,Quito,Ecuador,No,Ecuador,Argentina,2.0
183,1996-06-02,Kenya,Algeria,Africa,Africa,3.0,1.0,FIFA World Cup qualification,Nairobi,Kenya,No,Kenya,Algeria,4.0
184,1996-06-02,Madagascar,Zimbabwe,Africa,Africa,1.0,2.0,FIFA World Cup qualification,Antananarivo,Madagascar,No,Zimbabwe,Madagascar,3.0
185,1996-06-02,Norway,Azerbaijan,Europe,Europe,5.0,0.0,FIFA World Cup qualification,Oslo,Norway,No,Norway,Azerbaijan,5.0
186,1996-06-02,Peru,Colombia,South America,South America,1.0,1.0,FIFA World Cup qualification,Lima,Peru,No,Draw,Draw,2.0
187,1996-06-02,Rwanda,Tunisia,Africa,Africa,1.0,3.0,FIFA World Cup qualification,Kigali,Rwanda,No,Tunisia,Rwanda,4.0
188,1996-06-02,San Marino,Wales,Europe,Europe,0.0,5.0,FIFA World Cup qualification,Serravalle,San Marino,No,Wales,San Marino,5.0
189,1996-06-02,Eswatini,Gabon,Africa,Africa,0.0,1.0,FIFA World Cup qualification,Mbabane,Eswatini,No,Gabon,Eswatini,1.0
